mode,batch,workers,keys,features,samples,run,constraints,setup_seconds,predict_seconds,prove_total_seconds,prove_per_sample,wall_per_sample,proof_bytes,accuracy
label,40,16,0,23,800,1,574279,9.8702,531.0657,6716.2223,8.39528,0.66383,584,82.12
label,40,16,0,23,800,2,574279,10.0147,504.7924,5696.4523,7.12057,0.63099,584,82.12
label,40,16,0,23,800,3,574279,10.6345,521.4483,6582.0113,8.22751,0.65181,584,82.12
label,40,32,0,23,800,1,574279,9.9630,568.3996,7007.5218,8.75940,0.71050,584,82.12
label,40,32,0,23,800,2,574279,9.7764,513.9935,5889.1466,7.36143,0.64249,584,82.12
label,40,32,0,23,800,3,574279,9.8845,547.5544,6840.1600,8.55020,0.68444,584,82.12
label,40,64,0,23,800,1,574279,10.0288,558.7274,7125.2777,8.90660,0.69841,584,82.12
label,40,64,0,23,800,2,574279,10.4769,478.3673,5790.7185,7.23840,0.59796,584,82.12
label,40,64,0,23,800,3,574279,10.6991,549.0053,6964.3969,8.70550,0.68626,584,82.12
