batch,workers,wall_median,wall_std,prove_median,samples,n
10,1,0.39136,0.003910208860576771,0.38914,800,3
10,4,0.29924,0.004935412850005551,1.16009,800,3
10,8,0.30101,0.0007068238818829087,2.31111,800,3
10,16,0.30345,0.0038021967334686854,4.4736,800,3
10,32,0.30411,0.003641872229133423,4.48093,800,3
10,64,0.30697,0.006680202092751392,4.49273,800,3
20,1,0.36076,0.0017763539437097848,0.35822,800,3
20,4,0.30484,0.011736393540322892,1.16296,800,3
20,8,0.29434,0.010090713552569002,2.21445,800,3
20,16,0.29261,0.0011842860014934602,3.91906,800,3
20,32,0.31547,0.011598863450068445,4.22358,800,3
20,64,0.31493,0.013132868435088067,4.20094,800,3
40,1,0.3702,0.0036927361129655595,0.36592,800,3
40,4,0.32128,0.00863274193598611,1.22043,800,3
40,8,0.32576,0.0019105060411664081,2.13414,800,3
40,16,0.69866,0.021456575526708186,8.74555,800,3
40,32,0.74156,0.07184145878251635,9.0808,800,3
40,64,0.7291,0.05853382298580313,8.82089,800,3
80,1,0.19115,0.00142580971147392,0.18663,800,3
80,4,0.17301,0.003899234967699852,0.57026,800,3
80,8,0.18441,0.0027062212277146427,1.04067,800,3
80,16,0.24712,0.015777186060891832,1.69936,800,3
80,32,0.26032,0.018412897653547058,1.83532,800,3
80,64,0.24278,0.0035002333255560758,1.77025,800,3
