mode,batch,workers,keys,features,samples,run,constraints,setup_seconds,predict_seconds,prove_total_seconds,prove_per_sample,wall_per_sample,proof_bytes,accuracy,peak_rss_mb
label,80,16,1,23,800,1,1034639,12.2670,156.2186,153.1727,0.19147,0.19527,584,82.12,5276.0
label,80,16,1,23,800,2,1034639,11.9218,155.4936,152.1915,0.19024,0.19437,584,82.12,4647.3
label,80,16,1,23,800,3,1034639,11.6297,152.6200,149.6285,0.18704,0.19078,584,82.12,3845.1
label,80,16,2,23,800,1,1034639,11.5230,141.7238,269.5472,0.33693,0.17715,584,82.12,5504.2
label,80,16,2,23,800,2,1034639,12.7639,138.8120,265.3196,0.33165,0.17351,584,82.12,5277.2
label,80,16,2,23,800,3,1034639,12.0429,137.6289,262.2907,0.32786,0.17204,584,82.12,5554.8
label,80,16,4,23,800,1,1034639,11.0826,136.3428,446.3004,0.55788,0.17043,584,82.12,9873.2
label,80,16,4,23,800,2,1034639,12.3906,139.5323,461.4523,0.57682,0.17442,584,82.12,9496.5
label,80,16,4,23,800,3,1034639,12.0143,136.9374,451.5131,0.56439,0.17117,584,82.12,9313.1
label,80,16,8,23,800,1,1034639,11.4347,154.5696,894.2966,1.11787,0.19321,584,82.12,17931.6
label,80,16,8,23,800,2,1034639,11.8315,149.4632,855.2233,1.06903,0.18683,584,82.12,17577.5
label,80,16,8,23,800,3,1034639,11.6665,145.8236,832.3592,1.04045,0.18228,584,82.12,18583.4
label,80,16,16,23,800,1,1034639,11.8571,190.6127,1386.8780,1.73360,0.23827,584,82.12,20206.0
label,80,16,16,23,800,2,1034639,11.9132,196.8686,1371.4107,1.71426,0.24609,584,82.12,20213.6
label,80,16,16,23,800,3,1034639,11.6770,203.1687,1419.0247,1.77378,0.25396,584,82.12,20239.4
